Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.751	0	0
FBgn0267873	257	79.884	0	0
FBgn0267896	719	541.561	0.000307	0.001
FBgn0260225	1197	1019.17	0	0
FBgn0040928	1085	907.173	4.26175	26
FBgn0262789	532	354.656	0.838548	2
FBgn0058461	391	213.794	0.000915	0.001
FBgn0042701	620	442.616	0.006933	0.021
FBgn0263493	352	174.819	0.000766	0.001
FBgn0265917	359	181.815	0	0
FBgn0262163	610	432.623	0.687425	2
FBgn0085831	237	60.108	0	0
FBgn0267108	321	143.837	0.000929	0.001
FBgn0051032	770	592.539	13.0494	52
FBgn0266102	391	213.794	0.004177	0.006
FBgn0053867	526	348.661	0.986321	2.313
FBgn0267026	323	145.836	0	0
FBgn0267519	2689	2511.17	3551.4	59975.1
FBgn0058005	1227	1049.17	0.172768	1.219
FBgn0039979	803	625.515	7.01762	29.52
FBgn0053318	523	345.663	0	0
FBgn0053805	440	262.733	0.006362	0.011
FBgn0267419	780	602.533	0	0
FBgn0267892	760	582.543	0	0
FBgn0267902	582	404.633	0	0
FBgn0262964	777	599.535	0.496044	2
FBgn0085790	1041	863.173	0.332585	1.931
FBgn0267879	601	423.626	0	0
FBgn0085291	1130	952.173	0.144166	0.923
FBgn0263093	1195.91	1018.08	24.8857	170.383
FBgn0267952	1290	1112.17	0	0
FBgn0030117	636	458.598	0.088989	0.274
FBgn0058182	291	113.853	0	0
FBgn0052518	75	26.526	5.60585	1
FBgn0027934	1345	1167.17	0	0
FBgn0085340	423	245.751	0	0
FBgn0263744	845	667.481	0	0
FBgn0263210	221	45.582	0	0
FBtr0346869	123	58.513	3.09973	1.22
FBgn0267427	697	519.568	0	0
FBgn0263975	1131	953.173	3.58807	23
FBgn0267869	420	242.755	0.00022	0
FBgn0037560	956.771	779.2	47.8993	251
FBgn0263212	220	44.755	0	0
FBgn0085732	1478.87	1301.05	71.7778	628.027
FBgn0267593	610	432.623	0	0
FBgn0058100	394	216.79	7.59201	11.069
FBgn0264888	465	287.709	1.03367	2
FBgn0037143	1446	1268.17	0.234507	2
FBgn0262510	501	323.68	5.01735	10.922
FBgn0263771	276	98.866	0	0
FBgn0053315	421	243.754	0.610034	1
FBgn0050029	480	302.709	0	0
FBgn0085791	1041	863.173	0.037673	0.219
FBgn0085804	252	74.896	0	0
FBgn0267876	766	588.541	0	0
FBgn0267494	656	478.581	0	0
FBgn0085792	1211	1033.17	1.78436	12.398
FBgn0053013	2636	2458.17	0	0
FBgn0266211	1668	1490.17	1.29721	13
FBgn0265141	1303	1125.17	0	0
FBgn0051292	451.92	274.642	2.78219	5.139
FBgn0053294	1947.98	1770.16	2.85609	34
FBgn0000280	166	25.646	5.79804	1
FBgn0262885	102	43.741	0	0
FBgn0011812	456	278.718	0	0
FBgn0265533	403.316	226.086	0.000516	0.001
FBgn0052496	778	600.534	1.04969	4.239
FBgn0052009	3001.05	2823.22	1.30552	24.787
FBtr0347033	1076	898.173	0	0
FBgn0262688	493	315.686	0.471031	1
FBgn0053222	548.609	371.257	1.53805	3.84
FBgn0266940	581	403.633	0	0
FBgn0262565	802	624.516	0	0
FBgn0263002	361	183.814	0.808957	1
FBgn0084049	531	353.656	15.7658	37.497
FBgn0263211	352	174.819	0.000738	0.001
FBgn0267872	775	597.535	0	0
FBgn0262031	330	152.831	30.5187	31.367
FBgn0267014	274	96.868	6.18003	4.026
FBgn0039987	184	23.595	0	0
FBgn0261640	810	632.509	1.40799	5.989
FBgn0052761	71	24.18	0	0
